"CA","321","11","11.89","3.4"
"TX","216","10","8","4.6"
"OK","206","8","7.63","3.9"
"WA","158","7","5.85","4.4"
"OR","120","7","4.62","5.8"
"FL","109","9","4.04","8.3"
"NM","103","5","3.96","4.9"
"AZ","88","6","3.38","6.8"
"CO","86","6","3.31","7"
"MT","85","8","3.15","9.4"
"NV","83","6","3.19","7.2"
"KS","70","8","2.69","11.4"
"NY","68","12","2.72","17.6"
"SD","67","8","2.48","11.9"
"TN","66","10","2.44","15.2"
"LA","66","11","2.44","16.7"
"AK","66","8","2.44","12.1"
"KY","62","10","2.3","16.1"
"NE","59","9","2.27","15.3"
"MS","58","8","2.23","13.8"
"MO","55","6","2.12","10.9"
"AL","54","5","2.16","9.3"
"WV","52","11","1.93","21.2"
"NC","51","10","1.89","19.6"
"GA","49","8","1.81","16.3"
"AR","49","7","1.81","14.3"
"UT","48","6","1.92","12.5"
"ND","48","8","1.85","16.7"
"HI","48","9","1.78","18.8"
"VA","47","11","1.74","23.4"
"NH","46","9","1.92","19.6"
"IA","45","8","1.8","17.8"
"VT","44","7","1.76","15.9"
"ME","44","8","1.76","18.2"
"SC","41","8","1.52","19.5"
"MN","40","8","1.54","20"
"ID","39","6","1.44","15.4"
"WY","38","5","1.46","13.2"
"NJ","37","6","1.42","16.2"
"MA","37","9","1.54","24.3"
"PR","32","7","1.33","21.9"
"IL","31","7","1.29","22.6"
"OH","30","7","1.2","23.3"
"CT","30","6","1.36","20"
"PA","28","7","1.17","25"
"IN","28","7","1.08","25"
"WI","25","6","0.96","24"
"MD","23","7","0.85","30.4"
"RI","21","5","0.95","23.8"
"DC","20","6","0.74","30"
"MP","19","4","0.76","21.1"
"MI","19","9","0.73","47.4"
"VI","18","5","0.82","27.8"
"DE","16","4","0.84","25"
"GU","14","6","0.54","42.9"
"AS","10","5","0.5","50"
"FM","6","2","1","33.3"
